Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,454.149994,458.649994,451.200012,456.049988,374.494141,40564021
2015-05-13,456.000000,461.399994,453.799988,456.000000,374.453125,27419316
2015-05-14,454.350006,466.337006,451.100006,456.799988,375.110046,19548052
2015-05-15,456.200012,467.312988,449.980011,452.399994,371.496918,26021675
2015-05-18,450.649994,456.399994,449.200012,452.299988,371.414734,26639675
2015-05-19,454.500000,457.600006,448.089996,452.350006,371.455841,28684189
2015-05-20,451.200012,456.602997,445.549988,452.100006,371.250580,26462187
2015-05-21,450.899994,458.600006,450.600006,458.000000,376.095490,28951791
2015-05-22,458.899994,461.649994,456.750000,457.750000,375.890167,22676408
2015-05-26,457.750000,458.500000,449.250000,451.700012,370.922058,28740011
2015-05-27,452.000000,457.149994,450.399994,454.399994,373.139221,23281869
2015-05-28,453.049988,454.950012,449.399994,453.299988,372.235931,19784324
2015-05-29,453.000000,456.899994,449.635986,450.750000,370.141998,34072065
2015-06-01,452.250000,454.299988,446.600006,447.399994,367.391052,25069117
2015-06-02,450.000000,456.023010,442.248993,449.950012,369.485046,27661476
2015-06-03,450.000000,453.549988,447.200012,449.549988,369.156555,27032854
2015-06-04,447.649994,447.649994,439.850006,440.149994,361.437592,26387595
2015-06-05,438.500000,446.000000,435.399994,443.350006,364.065338,28788941
2015-06-08,444.200012,445.966003,437.700012,441.899994,362.874573,19899296
2015-06-09,443.500000,444.000000,438.149994,441.350006,362.423004,19248873
2015-06-10,440.000000,444.007996,439.750000,443.549988,364.229553,29431176
2015-06-11,443.649994,449.200012,442.537994,446.799988,366.898315,26769176
2015-06-12,443.750000,445.899994,436.399994,437.600006,359.343597,28390688
2015-06-15,436.000000,439.049988,430.942993,435.049988,357.249603,21333708
2015-06-16,435.500000,446.600006,429.299988,432.399994,355.073517,36440527
2015-06-17,433.500000,440.350006,432.000000,435.000000,357.208527,25693061
2015-06-18,435.100006,435.104004,430.678009,434.450012,356.756958,22906779
2015-06-19,432.600006,436.549988,429.649994,431.350006,354.211273,41744237
2015-06-22,436.049988,439.649994,434.549988,439.399994,360.821655,21651810
2015-06-23,439.600006,440.750000,436.200012,438.950012,360.452209,17454245
2015-06-24,438.850006,444.649994,436.549988,442.100006,363.038910,21193349
2015-06-25,443.250000,447.500000,440.149994,442.299988,363.203064,22125576
2015-06-26,442.399994,443.049988,437.049988,437.549988,359.302490,20290370
2015-06-29,428.799988,434.049988,427.149994,427.549988,351.090790,27762140
2015-06-30,427.600006,427.600006,420.149994,420.149994,345.014221,32718186
2015-07-01,425.000000,425.799988,417.993011,419.149994,344.192993,30738126
2015-07-02,420.700012,441.450012,419.350006,437.399994,359.179382,66373831
2015-07-03,439.000000,445.049988,432.549988,434.399994,356.715790,34957225
2015-07-06,429.649994,434.649994,428.299988,429.500000,352.692139,27122614
2015-07-07,427.750000,429.850006,416.799988,418.549988,343.700256,41700022
2015-07-08,420.049988,426.250000,419.200012,423.200012,347.518799,27717789
2015-07-09,426.149994,428.950012,421.899994,426.049988,349.859039,29587253
2015-07-10,431.200012,432.149994,423.250000,427.000000,350.639221,29506147
2015-07-13,433.250000,433.250000,425.000000,428.799988,352.117249,21029539
2015-07-14,427.350006,430.950012,424.149994,429.149994,352.404755,27453473
2015-07-15,429.350006,432.470001,425.850006,427.100006,350.721344,23381109
2015-07-16,428.000000,428.000000,421.100006,422.000000,346.533325,27706682
2015-07-17,422.350006,422.433990,415.450012,416.950012,342.386444,24825012
2015-07-20,418.000000,420.649994,415.549988,416.600006,342.099060,18523113
2015-07-21,417.100006,417.149994,412.350006,414.000000,339.964050,27275395
2015-07-22,412.799988,413.350006,406.588013,406.600006,333.887390,28926749
2015-07-23,405.399994,407.049988,400.100006,401.000000,329.288788,37226244
2015-07-24,401.700012,402.595001,394.100006,394.700012,324.115448,33652229
2015-07-27,393.600006,396.399994,384.149994,387.299988,318.038849,34841570
2015-07-28,385.000000,396.785004,383.000000,392.649994,322.432037,44690282
2015-07-29,396.049988,399.100006,391.649994,398.600006,327.317993,48660079
2015-07-30,399.000000,405.850006,397.600006,401.000000,329.288788,35395714
2015-07-31,402.899994,402.899994,392.399994,395.450012,324.731293,35454814
2015-08-03,392.700012,395.399994,387.200012,391.450012,321.446655,38979439
2015-08-04,389.950012,392.700012,385.750000,390.399994,320.584381,46565943
2015-08-05,390.000000,397.350006,388.950012,395.049988,324.402832,29017985
2015-08-06,386.000000,393.002014,380.149994,383.200012,319.976318,36164211
2015-08-07,384.399994,391.010010,383.799988,385.600006,321.980286,38213280
2015-08-10,386.399994,387.700012,379.500000,385.500000,321.896790,65915620
2015-08-11,385.549988,390.100006,380.459991,380.500000,317.721741,31211530
2015-08-12,378.000000,384.799988,376.200012,383.600006,320.310303,46452717
2015-08-13,389.299988,391.750000,382.250000,383.149994,319.934509,31285176
2015-08-14,380.200012,382.450012,377.100006,379.250000,316.678040,29732534
2015-08-17,380.000000,381.000000,374.149994,378.149994,315.759460,22658380
2015-08-18,378.299988,379.799988,373.049988,373.750000,312.085449,21498497
2015-08-19,373.500000,373.500000,366.399994,367.500000,306.866577,30153663
2015-08-20,365.100006,374.850006,362.549988,369.600006,308.620148,38485997
2015-08-21,363.799988,369.177002,357.200012,357.200012,298.265991,35801078
2015-08-24,345.149994,362.850006,326.250000,331.049988,276.430420,72815022
2015-08-25,335.700012,338.799988,332.649994,335.350006,280.020966,89785236
2015-08-26,330.950012,339.899994,327.450012,331.200012,276.555695,66939846
2015-08-27,337.700012,354.144989,333.700012,351.200012,293.255951,53787143
2015-08-28,355.000000,360.799988,348.850006,360.500000,301.021576,47119280
2015-09-01,360.500000,363.746002,347.299988,349.399994,291.752899,55287204
2015-09-02,349.000000,353.000000,341.989990,345.299988,288.329376,46152328
2015-09-03,351.000000,358.750000,252.550003,355.850006,297.138794,40384465
2015-09-04,350.000000,350.799988,334.889008,337.899994,282.150269,48708946
2015-09-07,339.799988,345.700012,335.544006,336.000000,280.563782,20930730
2015-09-08,339.100006,346.600006,338.100006,340.200012,284.070862,45803881
2015-09-09,345.299988,347.550995,341.950012,342.500000,285.991333,29531519
2015-09-10,339.799988,342.049988,333.049988,335.299988,279.979248,44684220
2015-09-11,337.149994,339.450012,333.049988,333.500000,278.476227,27504805
2015-09-14,335.899994,339.500000,329.750000,332.000000,277.223694,26567261
2015-09-15,333.649994,339.950012,328.450012,338.700012,282.818268,55440891
2015-09-16,339.600006,347.149994,337.250000,345.850006,288.788635,33785344
2015-09-17,345.399994,346.779999,342.899994,345.700012,288.663391,48618779
2015-09-18,343.850006,347.399994,329.549988,333.450012,278.434479,75436952
2015-09-21,331.000000,336.397003,330.102997,333.549988,278.517944,28372226
2015-09-22,334.649994,334.649994,321.850006,325.200012,271.545685,44325848
2015-09-23,326.500000,334.105011,325.899994,329.450012,275.094391,29369385
2015-09-24,327.299988,327.350006,321.700012,322.899994,269.625122,32789601
2015-09-25,329.149994,334.799988,328.274994,333.299988,278.309265,32227297
2015-09-28,333.600006,335.200012,322.981995,323.049988,269.750336,23460307
2015-09-29,319.899994,330.000000,319.899994,326.200012,272.380646,31380395
2015-09-30,329.950012,334.000000,328.000000,334.000000,278.893738,36272700
2015-10-01,339.049988,349.850006,339.049988,342.250000,285.782562,46504167
2015-10-02,342.700012,353.000000,341.799988,351.450012,293.464661,43168591
2015-10-05,359.850006,369.149994,356.049988,368.000000,307.284088,44442893
2015-10-06,370.600006,379.000000,362.299988,378.100006,315.717743,39379110
2015-10-07,377.500000,393.850006,376.899994,387.000000,323.149353,67363332
2015-10-08,384.750000,389.700012,380.399994,388.950012,324.777649,33194534
2015-10-09,393.000000,397.299988,390.350006,391.600006,326.990417,34631564
2015-10-12,390.750000,393.299988,383.549988,384.799988,321.312286,25522097
2015-10-13,383.100006,384.899994,376.250000,382.750000,319.600525,29372846
2015-10-14,379.299988,383.549988,375.299988,377.649994,315.341919,26910649
2015-10-15,381.450012,386.350006,379.600006,379.649994,317.011993,29203586
2015-10-16,383.000000,389.850006,382.100006,384.000000,320.644287,24500389
2015-10-19,383.649994,387.000000,375.549988,377.250000,315.008026,19028769
2015-10-20,376.799988,378.200012,370.953003,376.549988,314.423431,23317484
2015-10-21,378.649994,385.395996,375.200012,380.950012,318.097534,33070294
2015-10-22,381.000000,390.450012,380.549988,388.549988,324.443573,37359480
2015-10-23,391.899994,395.049988,385.899994,388.100006,324.067841,26356321
2015-10-26,386.750000,389.250000,382.500000,384.399994,320.978302,22654729
2015-10-27,390.000000,392.869995,376.750000,380.000000,317.304230,44460183
2015-10-28,382.649994,393.149994,377.450012,391.000000,326.489349,38910492
2015-10-29,390.850006,392.899994,382.200012,391.700012,327.073914,71056854
2015-10-30,393.049988,393.950012,383.602997,386.399994,322.648346,31703595
2015-11-02,386.399994,389.200012,380.850006,388.250000,324.193085,20452411
2015-11-03,389.700012,403.250000,386.549988,403.250000,336.718292,46089592
2015-11-04,402.899994,411.500000,401.700012,402.049988,335.716217,45564464
2015-11-05,393.100006,395.899994,387.250000,390.450012,331.500183,30484394
2015-11-06,389.200012,395.049988,384.799988,386.500000,328.146515,31363217
2015-11-09,386.200012,392.299988,382.600006,382.600006,324.835388,24678373
2015-11-10,385.149994,386.850006,381.049988,382.500000,324.750458,25364595
2015-11-11,383.799988,384.675995,376.950012,377.899994,320.845001,23116290
2015-11-12,376.399994,379.149994,367.100006,367.250000,311.802917,32428210
2015-11-13,365.950012,369.799988,360.350006,364.500000,309.468109,27349974
2015-11-16,362.350006,373.100006,362.347992,368.649994,312.991516,28733683
2015-11-17,377.950012,380.200012,374.500000,378.549988,321.396820,32865715
2015-11-18,375.000000,384.899994,373.110992,382.500000,324.750458,33870614
2015-11-19,384.100006,389.950012,381.950012,385.149994,327.000366,30063992
2015-11-20,384.700012,385.649994,379.649994,381.299988,323.731659,32153367
2015-11-23,375.000000,385.850006,372.700012,380.750000,323.264648,29628073
2015-11-24,380.700012,387.000000,377.799988,385.899994,327.637146,33094964
2015-11-25,386.700012,389.350006,382.149994,386.100006,327.806976,33263830
2015-11-26,386.100006,390.899994,385.299988,389.600006,330.778534,20478427
2015-11-27,387.450012,388.350006,385.100006,386.549988,328.188995,19857588
2015-11-30,384.799988,389.000000,383.200012,385.250000,327.085297,40098976
2015-12-01,386.350006,387.480988,382.250000,384.549988,326.490967,20884696
2015-12-02,382.750000,386.200012,380.350006,382.000000,324.326019,32004254
2015-12-03,380.600006,382.299988,368.365997,368.549988,312.906616,39156513
2015-12-04,369.100006,375.250000,356.799988,359.700012,305.392792,37017831
2015-12-07,356.250000,358.200012,346.600006,347.600006,295.119659,32311531
2015-12-08,344.799988,352.750000,340.000000,347.799988,295.289429,39928774
2015-12-09,348.750000,356.850006,343.899994,350.450012,297.539337,35093272
